,UF,acesso_a_Internet,Renda_per_capita
83087,RJ,sim,487.0
83088,RJ,não,600.0
83089,RJ,sim,197.0
83091,RJ,não,795.0
83095,RJ,sim,1900.0
83096,RJ,sim,1262.0
83097,RJ,sim,398.0
83098,RJ,sim,4000.0
83100,RJ,não,4258.0
83102,RJ,sim,433.0
83103,RJ,não,684.0
83104,RJ,sim,3000.0
83105,RJ,sim,729.0
83106,RJ,sim,250.0
83107,RJ,não,1182.0
83108,RJ,não,1000.0
83110,RJ,não,2500.0
83111,RJ,não,1576.0
83112,RJ,sim,800.0
83113,RJ,sim,596.0
83114,RJ,sim,3500.0
83115,RJ,não,788.0
83116,RJ,não,744.0
83118,RJ,não,788.0
83119,RJ,não,1390.0
83120,RJ,não,4000.0
83121,RJ,não,310.0
83122,RJ,não,880.0
83123,RJ,não,1579.0
83129,RJ,não,840.0
83130,RJ,sim,890.0
83134,RJ,não,394.0
83136,RJ,sim,762.0
83137,RJ,não,424.0
83138,RJ,sim,500.0
83139,RJ,não,1108.0
83140,RJ,sim,197.0
83142,RJ,sim,1166.0
83143,RJ,não,500.0
83144,RJ,sim,1031.0
83145,RJ,sim,325.0
83146,RJ,sim,650.0
83147,RJ,não,494.0
83148,RJ,não,788.0
83149,RJ,não,850.0
83150,RJ,sim,197.0
83151,RJ,não,75.0
83152,RJ,não,711.0
83157,RJ,não,2075.0
83159,RJ,sim,3700.0
83160,RJ,sim,197.0
83161,RJ,não,390.0
83164,RJ,não,540.0
83170,RJ,sim,5950.0
83174,RJ,sim,2100.0
83175,RJ,sim,600.0
83176,RJ,sim,5600.0
83182,RJ,sim,1157.0
83183,RJ,não,283.0
83184,RJ,sim,1500.0
83185,RJ,sim,1000.0
83186,RJ,sim,375.0
83187,RJ,sim,548.0
83188,RJ,não,975.0
83189,RJ,sim,1050.0
83190,RJ,não,1300.0
83191,RJ,sim,1500.0
83192,RJ,não,1100.0
83193,RJ,sim,490.0
83194,RJ,sim,500.0
83195,RJ,sim,7880.0
83196,RJ,sim,2000.0
83197,RJ,sim,2394.0
83215,RJ,sim,2250.0
83217,RJ,não,2144.0
83218,RJ,sim,2364.0
83219,RJ,sim,1350.0
83220,RJ,sim,2750.0
83223,RJ,sim,1075.0
83225,RJ,sim,525.0
83226,RJ,sim,3750.0
83228,RJ,sim,400.0
83229,RJ,sim,375.0
83230,RJ,sim,5000.0
83231,RJ,não,466.0
83232,RJ,não,300.0
83235,RJ,sim,1133.0
83237,RJ,sim,1550.0
83238,RJ,não,788.0
83239,RJ,não,788.0
83240,RJ,sim,1200.0
83241,RJ,sim,548.0
83242,RJ,sim,1050.0
83243,RJ,sim,2500.0
83244,RJ,sim,502.0
83245,RJ,sim,400.0
83246,RJ,sim,3050.0
83247,RJ,sim,788.0
83248,RJ,sim,987.0
83250,RJ,sim,245.0
83251,RJ,não,546.0
83252,RJ,sim,750.0
83253,RJ,não,750.0
83254,RJ,não,2340.0
83255,RJ,não,394.0
83256,RJ,sim,525.0
83258,RJ,sim,929.0
83260,RJ,sim,2500.0
83263,RJ,sim,1083.0
83265,RJ,sim,5000.0
83266,RJ,não,600.0
83267,RJ,sim,600.0
83268,RJ,sim,300.0
83269,RJ,não,1560.0
83270,RJ,sim,1262.0
83271,RJ,sim,1800.0
83272,RJ,sim,725.0
83273,RJ,sim,1057.0
83274,RJ,não,394.0
83275,RJ,sim,780.0
83276,RJ,não,225.0
83277,RJ,sim,858.0
83278,RJ,sim,1750.0
83279,RJ,sim,925.0
83280,RJ,sim,1750.0
83281,RJ,sim,2500.0
83282,RJ,sim,1300.0
83283,RJ,sim,2500.0
83284,RJ,não,4500.0
83285,RJ,sim,762.0
83286,RJ,sim,1150.0
83289,RJ,sim,1000.0
83290,RJ,não,394.0
83291,RJ,sim,1576.0
83292,RJ,sim,835.0
83295,RJ,sim,750.0
83298,RJ,sim,1500.0
83299,RJ,sim,469.0
83300,RJ,sim,1000.0
83301,RJ,sim,294.0
83302,RJ,sim,2000.0
83303,RJ,sim,1666.0
83304,RJ,sim,900.0
83305,RJ,não,1500.0
83306,RJ,não,914.0
83307,RJ,sim,650.0
83308,RJ,não,394.0
83309,RJ,não,262.0
83310,RJ,não,788.0
83311,RJ,sim,450.0
83312,RJ,sim,800.0
83314,RJ,não,394.0
83315,RJ,sim,1800.0
83317,RJ,sim,788.0
83318,RJ,sim,475.0
83319,RJ,sim,394.0
83320,RJ,não,1300.0
83321,RJ,não,788.0
83323,RJ,não,1576.0
83324,RJ,sim,866.0
83325,RJ,não,788.0
83326,RJ,não,333.0
83327,RJ,sim,1075.0
83328,RJ,não,263.0
83331,RJ,não,500.0
83332,RJ,sim,763.0
83334,RJ,não,788.0
83335,RJ,sim,120.0
83336,RJ,sim,263.0
83337,RJ,não,257.0
83338,RJ,sim,1289.0
83339,RJ,sim,788.0
83340,RJ,sim,246.0
83341,RJ,sim,189.0
83342,RJ,não,933.0
83344,RJ,não,120.0
